mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,name,origin
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,chevrolet chevelle malibu,usa
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,buick skylark 320,usa
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,plymouth satellite,usa
16.0,8.0,304.0,150.0,3433.0,12.0,70.0,amc rebel sst,usa
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,ford torino,usa
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,ford galaxie 500,usa
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,chevrolet impala,usa
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,plymouth fury iii,usa
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,pontiac catalina,usa
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,amc ambassador dpl,usa
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,dodge challenger se,usa
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,plymouth 'cuda 340,usa
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,chevrolet monte carlo,usa
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,buick estate wagon (sw),usa
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,toyota corona mark ii,japan
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,plymouth duster,usa
18.0,6.0,199.0,97.0,2774.0,15.5,70.0,amc hornet,usa
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,ford maverick,usa
27.0,4.0,97.0,88.0,2130.0,14.5,70.0,datsun pl510,japan
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,volkswagen 1131 deluxe sedan,europe
25.0,4.0,110.0,87.0,2672.0,17.5,70.0,peugeot 504,europe
24.0,4.0,107.0,90.0,2430.0,14.5,70.0,audi 100 ls,europe
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,saab 99e,europe
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,bmw 2002,europe
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,amc gremlin,usa
10.0,8.0,360.0,215.0,4615.0,14.0,70.0,ford f250,usa
10.0,8.0,307.0,200.0,4376.0,15.0,70.0,chevy c20,usa
11.0,8.0,318.0,210.0,4382.0,13.5,70.0,dodge d200,usa
9.0,8.0,304.0,193.0,4732.0,18.5,70.0,hi 1200d,usa
27.0,4.0,97.0,88.0,2130.0,14.5,71.0,datsun pl510,japan
28.0,4.0,140.0,90.0,2264.0,15.5,71.0,chevrolet vega 2300,usa
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,toyota corona,japan
25.0,4.0,98.0,0.0,2046.0,19.0,71.0,ford pinto,usa
19.0,6.0,232.0,100.0,2634.0,13.0,71.0,amc gremlin,usa
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,plymouth satellite custom,usa
17.0,6.0,250.0,100.0,3329.0,15.5,71.0,chevrolet chevelle malibu,usa
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,ford torino 500,usa
18.0,6.0,232.0,100.0,3288.0,15.5,71.0,amc matador,usa
14.0,8.0,350.0,165.0,4209.0,12.0,71.0,chevrolet impala,usa
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,pontiac catalina brougham,usa
14.0,8.0,351.0,153.0,4154.0,13.5,71.0,ford galaxie 500,usa
14.0,8.0,318.0,150.0,4096.0,13.0,71.0,plymouth fury iii,usa
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,dodge monaco (sw),usa
13.0,8.0,400.0,170.0,4746.0,12.0,71.0,ford country squire (sw),usa
13.0,8.0,400.0,175.0,5140.0,12.0,71.0,pontiac safari (sw),usa
18.0,6.0,258.0,110.0,2962.0,13.5,71.0,amc hornet sportabout (sw),usa
22.0,4.0,140.0,72.0,2408.0,19.0,71.0,chevrolet vega (sw),usa
19.0,6.0,250.0,100.0,3282.0,15.0,71.0,pontiac firebird,usa
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,ford mustang,usa
23.0,4.0,122.0,86.0,2220.0,14.0,71.0,mercury capri 2000,usa
28.0,4.0,116.0,90.0,2123.0,14.0,71.0,opel 1900,europe
